supertype,anchor
A01,2
A01,9
A02,2
A02,9
A03,2
A03,9
A24,2
A24,9
A26,1
A26,2
A26,9
B07,2
B07,9
B08,5
B08,9
B27,1
B27,2
B27,3
B44,2
B44,9
B58,2
B58,9
B62,2
B62,9
